"Ticker","Name","Price","Dividend Yield","Market Cap ($M)","P/E Ratio","Payout Ratio","Beta"
"HII","Huntington Ingalls Industries, Inc.","205.55","1.6","8,401","12.7","20.6","1.00"
"HLT","Hilton Worldwide Holdings, Inc.","91.00","0.7","26,017","33.1","21.9","1.04"
"HOG","Harley-Davidson, Inc.","34.11","4.5","5,198","12.5","56.2","1.17"
"HOLX","Hologic, Inc.","49.11","0.0","12,940","-431.5","0.0","0.96"
"HON","Honeywell International, Inc.","163.18","2.0","114,128","17.1","34.5","0.95"
"HP","Helmerich & Payne, Inc.","37.24","7.8","4,007","-54.5","-422.8","1.17"
"HPE","Hewlett-Packard Enterprise Co.","14.35","3.2","18,082","-138.4","-449.6","1.32"
"HPQ","HP, Inc.","16.80","3.8","24,155","6.1","23.3","1.25"
"HRB","H&R Block, Inc.","23.56","4.4","4,638","11.2","48.8","0.62"
"HRL","Hormel Foods Corp.","43.70","1.9","23,003","23.7","45.0","0.45"
"HSIC","Henry Schein, Inc.","62.88","0.0","9,211","19.8","0.0","0.74"
"HST","Host Hotels & Resorts, Inc.","16.80","4.9","12,006","11.3","55.1","0.84"
"HSY","The Hershey Co.","157.70","1.8","32,752","26.4","48.9","0.25"
"HUM","Humana, Inc.","255.24","0.8","34,200","13.9","11.5","0.83"
"IBM","International Business Machines Corp.","141.28","4.6","122,587","14.5","66.5","1.00"
"ICE","Intercontinental Exchange, Inc.","94.36","1.1","52,084","26.5","29.4","0.63"
"IDXX","IDEXX Laboratories, Inc.","272.05","0.0","23,048","57.8","0.0","1.24"
"IEX","IDEX Corp.","156.14","1.2","11,552","27.7","33.8","1.03"
"IFF","International Flavors & Fragrances, Inc.","118.40","0.0","12,185","34.3","0.0","0.71"
"ILMN","Illumina, Inc.","301.63","0.0","42,388","47.3","0.0","1.47"
"INCY","Incyte Corp.","74.76","0.0","16,009","52.3","0.0","1.07"
"INFO","IHS Markit Ltd.","67.52","0.0","26,701","70.3","0.0","0.97"
"INTC","Intel Corp.","50.62","2.5","220,259","11.6","28.7","1.22"
"INTU","Intuit, Inc.","266.76","0.7","67,876","44.5","32.1","1.33"
"IP","International Paper Co.","39.12","5.1","15,096","9.9","50.6","1.12"
"IPG","Interpublic Group of Cos., Inc.","21.11","4.4","7,849","12.5","54.9","0.80"
"IPGP","IPG Photonics Corp.","131.68","0.0","6,635","23.1","0.0","1.70"
"IQV","IQVIA Holdings, Inc.","148.70","0.0","28,457","119.3","0.0","1.12"
"IR","Ingersoll-Rand Plc","116.45","1.9","27,303","19.9","37.4","0.95"
"IRM","Iron Mountain, Inc.","32.27","7.6","9,181","31.7","239.7","0.56"
"ISRG","Intuitive Surgical, Inc.","526.60","0.0","58,663","49.9","0.0","1.48"
"IT","Gartner, Inc.","142.57","0.0","12,672","58.5","0.0","0.99"
"ITW","Illinois Tool Works, Inc.","150.20","2.7","47,357","20.0","54.8","1.11"
"IVZ","Invesco Ltd.","15.73","7.9","14,450","10.8","85.0","1.12"
"JBHT","J.B. Hunt Transport Services, Inc.","108.11","0.9","11,315","24.8","23.4","0.97"
"JCI","Johnson Controls International Plc","42.24","2.5","32,870","66.8","168.3","0.81"
"JEC","Jacobs Engineering Group, Inc.","88.90","0.7","11,969","-50.6","-37.8","1.10"
"JEF","Jefferies Financial Group, Inc.","17.32","2.5","5,094","45.4","113.6","1.24"
"JKHY","Jack Henry & Associates, Inc.","144.81","1.1","10,955","41.1","44.5","0.83"
"JNJ","Johnson & Johnson","133.16","2.8","347,948","21.8","60.3","0.55"
"JNPR","Juniper Networks, Inc.","23.72","3.2","8,005","16.6","53.2","1.01"
"JPM","JPMorgan Chase & Co.","114.37","2.9","357,543","11.6","33.3","0.94"
"JWN","Nordstrom, Inc.","33.07","4.5","5,105","10.8","48.7","0.98"
"K","Kellogg Co.","62.68","3.6","21,064","24.9","90.1","0.39"
"KEY","KeyCorp","17.28","4.1","16,794","10.3","41.7","1.04"
"KEYS","Keysight Technologies, Inc.","96.21","0.0","17,148","58.0","0.0","1.46"
"KHC","The Kraft Heinz Co.","26.94","7.7","32,585","-3.0","-22.7","0.50"
"KIM","Kimco Realty Corp.","20.63","5.5","8,676","25.6","139.8","0.65"
"KLAC","KLA Corp.","161.05","1.9","24,485","21.3","41.3","1.48"
"KMB","Kimberly-Clark Corp.","140.16","3.0","47,193","26.9","79.5","0.41"
"KMI","Kinder Morgan, Inc.","20.30","4.2","45,298","20.3","86.4","0.83"
"KMX","CarMax, Inc.","86.31","0.0","13,992","16.4","0.0","0.76"
"KO","The Coca-Cola Co.","53.87","2.9","229,109","32.8","96.7","0.42"
"KR","The Kroger Co.","24.84","2.4","19,607","12.1","28.8","0.59"
"KSS","Kohl's Corp.","48.36","5.3","7,701","10.6","56.1","1.08"
"KSU","Kansas City Southern","128.13","1.1","12,662","22.8","26.0","0.99"
"L","Loews Corp.","49.58","0.5","14,722","20.3","10.4","0.89"
"LB","L Brands, Inc.","18.47","10.2","4,892","8.8","89.8","1.22"
"LDOS","Leidos Holdings, Inc.","83.80","1.6","11,769","18.7","29.2","0.95"
"LEG","Leggett & Platt, Inc.","39.27","4.0","5,055","18.2","72.7","1.05"
"LEN","Lennar Corp.","59.33","0.3","19,051","9.8","2.6","0.70"
"LH","Laboratory Corp. of America Holdings","166.98","0.0","15,971","19.6","0.0","0.82"
"LHX","L3Harris Technologies, Inc.","205.77","1.3","46,573","25.6","33.5","0.64"
"LIN","Linde Plc","188.58","1.8","99,528","18.8","34.8","0.72"
"LKQ","LKQ Corp.","30.29","0.0","9,212","22.6","0.0","0.99"
"LLY","Eli Lilly & Co.","107.83","2.3","103,484","25.6","57.7","0.67"
"LMT","Lockheed Martin Corp.","383.78","2.3","107,909","18.6","41.8","0.79"
"LNC","Lincoln National Corp.","55.94","2.7","10,794","7.8","20.8","1.34"
"LNT","Alliant Energy Corp.","53.78","2.6","12,681","24.9","64.3","0.23"
"LOW","Lowe's Cos., Inc.","108.23","1.9","82,196","33.8","63.1","1.07"
"LRCX","Lam Research Corp.","232.14","1.9","32,978","16.1","31.2","1.49"
"LUV","Southwest Airlines Co.","53.04","1.2","28,504","12.3","15.3","0.92"
"LW","Lamb Weston Holdings, Inc.","75.91","1.0","11,184","23.3","24.1","0.33"
"LYB","LyondellBasell Industries NV","84.16","5.0","27,366","8.8","43.7","1.05"
"M","Macy's, Inc.","15.03","10.2","4,584","4.5","46.1","1.02"
"MA","Mastercard, Inc.","272.19","0.5","270,958","41.7","19.4","1.40"
"MAA","Mid-America Apartment Communities, Inc.","132.68","2.9","15,127","64.0","183.6","0.40"
"MAC","Macerich Co.","28.74","10.8","4,198","37.5","404.6","0.68"
"MAR","Marriott International, Inc.","119.20","1.5","38,755","27.0","39.3","1.09"
"MAS","Masco Corp.","42.31","1.2","12,000","17.3","20.0","1.06"
"MCD","McDonald's Corp.","211.92","2.1","160,326","27.6","58.6","0.42"
"MCHP","Microchip Technology, Inc.","92.34","1.6","21,254","58.8","96.1","1.49"
"MCK","McKesson Corp.","130.23","1.2","24,087","43.1","51.6","0.78"
"MCO","Moody's Corp.","208.21","0.9","38,929","31.9","29.1","1.19"
"MDLZ","Mondelez International, Inc.","55.07","1.9","78,683","21.6","41.2","0.55"
"MDT","Medtronic Plc","107.26","1.9","140,888","32.6","63.3","0.67"
"MET","MetLife, Inc.","44.95","3.9","41,044","7.3","28.4","1.05"
"MGM","MGM Resorts International","27.25","1.9","13,739","78.8","149.5","1.41"
"MHK","Mohawk Industries, Inc.","124.06","0.0","8,824","11.7","0.0","1.05"
"MKC","McCormick & Co., Inc.","168.22","1.3","22,148","31.6","42.3","0.42"
"MKTX","MarketAxess Holdings, Inc.","347.79","0.5","13,089","69.6","37.3","0.38"
"MLM","Martin Marietta Materials, Inc.","262.11","0.7","16,418","32.5","23.7","0.71"
"MMC","Marsh & McLennan Cos., Inc.","97.63","1.8","48,226","33.3","59.5","0.82"
"MMM","3M Co.","153.52","3.7","86,717","18.2","67.5","1.04"
"MNST","Monster Beverage Corp.","55.73","0.0","30,447","28.9","0.0","0.88"
"MO","Altria Group, Inc.","42.17","7.6","78,460","12.5","95.3","0.54"
"MOS","The Mosaic Co.","19.20","0.7","7,157","28.7","19.4","1.20"
"MPC","Marathon Petroleum Corp.","60.40","3.3","39,380","12.9","42.7","1.33"
"MRK","Merck & Co., Inc.","84.39","2.6","213,254","23.5","60.0","0.68"
"MRO","Marathon Oil Corp.","11.41","1.8","8,916","9.7","17.4","1.57"
"MS","Morgan Stanley","40.68","3.0","65,813","8.7","26.4","1.21"
"MSCI","MSCI, Inc.","220.79","1.1","18,168","32.7","35.4","1.32"
